config_id,num_leaves,learning_rate,feature_fraction,bagging_fraction,val_mae,val_rmse,val_mape
1,15,0.01,0.8,0.8,2.14399507176593,2.836687647628357,78.9249783682378
2,15,0.05,0.8,0.8,2.163954556336622,2.854401988232759,83.81491309620658
3,15,0.1,0.8,0.8,2.1082508304542236,2.7904832098669505,78.93586745027028
4,31,0.01,0.8,0.8,2.179318253272814,2.8797289803801207,81.13679020211556
5,31,0.05,0.8,0.8,2.123554248029263,2.8081424340216805,79.68579207883748
6,31,0.1,0.8,0.8,2.2272597409802892,2.9347039636157195,88.36204932017294
7,63,0.01,0.8,0.8,2.19753913256366,2.909332017809728,83.10730682653274
8,63,0.05,0.8,0.8,2.1485029818031314,2.8430757964076943,82.2924419605138
9,63,0.1,0.8,0.8,2.224178840435695,2.9350286505548926,86.25648357159326
1,47,0.03,0.85,0.85,2.1571911809758046,2.8575304830384254,80.61647267366483
